"","userId","talkrevisions"
"1",49780,1
"2",195931,1
"3",36778,1
"4",301261,14
"5",133373,2
"6",128226,1
"7",90401,2
"8",318967,2
"9",279485,2
"10",159246,1
"11",278537,1
"12",125894,1
"13",415470,36
"14",64066,1
"15",66416,153
"16",361320,56
"17",116130,1
"18",282655,2
"19",410521,5
"20",69062,3
"21",3360,2
"22",251316,1
"23",180819,5
"24",247999,26
"25",299475,1
"26",64904,2
"27",17123,1
"28",173553,3
"29",145031,2
"30",295102,31
"31",194351,2
"32",87652,3
"33",310666,2
"34",47232,6
"35",247307,1
"36",28150,26
"37",143471,1
"38",174934,3
"39",115029,36
"40",160380,1
"41",82140,1
"42",228959,1
"43",123740,4
"44",358900,21
"45",81651,11
"46",41859,2
"47",151801,1
"48",156151,1
"49",181028,1
"50",291034,1
"51",255516,1
"52",14089,1
"53",253136,3
"54",65408,414
"55",420046,5
"56",84112,1
"57",221141,1
"58",213675,1
"59",170175,1
"60",102630,2
"61",61176,1
"62",133058,1
"63",375769,1
"64",194978,2
"65",98389,1
"66",39680,1
"67",287477,1
"68",283148,2
"69",149897,28
"70",24895,1
"71",192794,1
"72",378140,1
"73",387604,2
"74",59280,1
"75",353220,2
"76",130562,3
"77",238011,2
"78",331932,6
"79",58473,66
"80",215659,1
"81",19740,1
"82",232292,139
"83",15888,1
"84",322009,1
"85",180316,1
"86",184508,2
"87",368322,9
"88",44296,426
"89",379649,1
"90",344617,1
"91",238125,1
"92",309822,1
"93",102710,3
"94",415487,11
"95",240677,1
"96",163332,1
"97",118383,2
"98",257526,1
"99",408492,3
"100",355205,1
"101",279200,3
"102",71435,1
"103",354137,2
"104",386590,4
"105",287844,3
"106",408954,3
"107",129405,1
"108",219398,1
"109",337063,1
"110",296841,2
"111",194810,3
"112",313886,1
"113",129893,4
"114",339810,2
"115",76537,1
"116",338546,1
"117",40605,2
"118",42605,14
"119",121927,17
"120",63779,4
"121",240475,1
"122",344689,8
"123",106934,6
"124",258231,2
"125",201271,1
"126",309266,4
"127",91010,2
"128",2432,1
"129",314986,1
"130",134992,1
"131",406972,3
"132",102072,3
"133",330681,3
"134",232901,1
"135",174192,110
"136",27820,4
"137",149828,15
"138",101169,1
"139",18792,1
"140",82380,1
"141",281326,5
"142",167343,1
"143",126393,3
"144",346470,31
"145",163988,4
"146",158973,4
"147",95597,2
"148",166323,2
"149",53172,1
"150",165663,8
"151",246094,1
"152",312123,2
"153",316054,25
"154",17049,11
"155",191551,2
"156",51309,62
"157",250435,1
"158",162084,2
"159",260709,2
"160",121814,1
"161",78054,131
"162",239122,2
"163",200532,1
"164",171217,10
"165",186967,57
"166",219714,2
"167",343923,15
"168",147529,2
"169",73197,3
"170",15473,1
"171",388627,2
"172",46228,2
"173",301532,1
"174",63270,1
"175",184732,1
"176",276138,30
"177",338823,34
"178",78901,5
"179",277861,67
"180",373654,1
"181",98110,2
"182",105341,2
"183",208357,1
"184",400005,2
"185",357237,9
"186",191637,1
"187",143151,1
"188",354244,1
"189",290995,1
"190",384077,1
"191",356060,2
"192",22969,1
"193",161561,1
"194",83294,8
"195",125491,2
"196",86565,2
"197",257988,1
"198",185403,2
"199",257697,3
"200",371073,1
"201",383787,1
"202",115813,1
"203",316102,39
"204",375751,6
"205",283839,1
"206",245636,96
"207",308943,1
"208",418438,7
"209",314156,4
"210",202361,1
"211",344334,1
"212",398225,2
"213",360788,2
"214",202180,3
"215",37093,2
"216",89615,29
"217",381584,42
"218",222007,2
"219",409072,1
"220",287000,1
"221",181793,27
"222",71257,3
"223",323422,1
"224",299811,1
"225",138135,64
"226",376016,1
"227",208898,1
"228",385921,3
"229",38183,1
"230",156897,1
"231",262665,2
"232",189786,5
"233",281340,7
"234",268400,2
"235",15777,1
"236",17083,1
"237",309963,1
"238",336385,1
"239",124173,1
"240",374174,5
"241",8737,1
"242",146963,2
"243",32750,194
"244",182034,1
"245",183068,18
"246",413297,2
"247",335345,1
"248",323072,1
"249",217291,165
"250",34372,2
"251",373789,155
"252",178122,2
"253",381757,5
"254",297556,1
"255",9095,1
"256",369747,4
"257",61439,1
"258",89639,1
"259",54984,2
"260",412232,4
"261",300037,130
"262",80847,33
"263",12842,750
"264",275676,5
"265",285238,1
"266",372872,5
"267",24950,4
"268",121909,1
"269",137550,21
"270",305280,21
"271",11490,16
"272",296959,3
"273",161538,1
"274",32096,9
"275",144210,1
"276",303627,11
"277",116956,3
"278",152979,1
"279",169362,1
"280",321639,4
"281",155763,5
"282",292834,11
"283",245339,1
"284",151385,99
"285",57508,2
"286",100308,1
"287",53552,9
"288",241269,2
"289",230636,36
"290",86692,1
"291",203538,21
"292",107372,5
"293",395198,2
"294",133347,2
"295",13924,5
"296",362425,1
"297",363684,1
"298",365540,1
"299",362704,1
"300",293829,1
"301",288504,4
"302",37310,20
"303",25060,1
"304",37165,4
"305",262489,2
"306",278186,1
"307",153010,1
"308",73426,1
"309",169526,3
"310",57981,2
"311",36038,2
"312",33630,1
"313",146462,1
"314",391442,7
"315",311075,1
"316",327101,71
"317",128764,4
"318",136337,2
"319",344320,3
"320",103876,3
"321",110527,2
"322",10758,4
"323",370560,4
"324",214529,4
"325",396920,1
"326",257966,1
"327",30252,1
"328",169686,2
"329",109986,8
"330",257983,1
"331",382134,4
"332",132204,5
"333",125087,3
"334",283709,1
"335",208951,3
"336",151052,2
"337",215524,101
"338",201744,1
"339",18926,1
"340",417555,2
"341",43384,1
"342",304941,4
"343",136204,30
"344",409628,1
"345",352494,1
"346",118336,39
"347",52101,3
"348",350267,173
"349",181185,78
"350",190081,1
"351",368368,1
"352",222840,24
"353",106447,3
"354",87932,1
"355",407101,1
"356",392242,1
"357",73150,5
"358",316348,28
"359",154061,1
"360",117005,4
"361",208040,7
"362",125896,3
"363",100690,1
"364",216146,1
"365",60772,1
"366",267461,1
"367",369817,1
"368",267216,2
"369",15010,3
"370",273191,961
"371",248518,16
"372",235847,5
"373",327386,14
"374",35462,5
"375",403380,14
"376",112590,1
"377",144956,1
"378",28015,1
"379",304581,2
"380",236403,1
"381",358782,2
"382",103451,18
"383",262227,2
"384",33667,2
"385",139880,1
"386",76796,1
"387",10288,1
"388",159365,2
"389",176579,1
"390",116547,1
"391",212637,2
"392",137104,1
"393",122655,1
"394",68952,1
"395",122298,1
"396",414247,388
"397",322278,4
"398",20576,13
"399",375222,7
"400",31799,4
"401",287949,1
"402",411192,1
"403",111388,399
"404",174868,2
"405",89853,1
"406",328542,2
"407",392263,2
"408",79004,7
"409",416112,9
"410",219439,441
"411",179834,8
"412",359287,1
"413",105893,2
"414",306474,10
"415",176742,3
"416",52197,1
"417",356098,99
"418",405392,3
"419",182902,6
"420",317005,2
"421",375354,1
"422",31852,1
"423",374078,5
"424",348269,2
"425",414406,1
"426",183862,1
"427",12839,2
"428",238169,4
"429",416026,13
"430",283646,7
"431",403306,1
"432",292247,1
"433",339192,14
"434",269443,1
"435",181454,1
"436",395581,2
"437",154091,1
"438",334062,1
"439",347212,3
"440",48156,1
"441",160339,1
"442",382119,1
"443",15017,3
"444",302031,1
"445",386439,1
"446",206876,7
"447",116743,105
"448",382900,1
"449",269899,2
"450",325971,1
"451",284554,2
"452",97214,1
"453",74928,1
"454",12681,1
"455",297867,1
"456",349403,38
"457",154012,1
"458",128598,2
"459",330486,1
"460",131352,1
"461",3287,3
"462",45208,6
"463",339296,3
"464",54490,1
"465",164137,1
"466",361081,5
"467",199020,62
"468",98715,1
"469",89455,1
"470",43619,1
"471",40614,8
"472",229770,1
"473",145415,424
"474",58789,9
"475",266462,2
"476",7739,1
"477",377328,26
"478",379595,17
"479",46726,2
"480",111279,2
"481",149817,1
"482",259549,1
"483",295260,8
"484",79458,2
"485",329399,2
"486",63984,1
"487",334290,2
"488",248911,2
"489",347958,8
"490",106061,1
"491",41513,1
"492",296786,2
"493",200564,2
"494",298993,8
"495",84098,28
"496",18910,1
"497",161809,24
"498",33334,2
"499",203585,2
"500",13696,3
"501",268509,2
"502",372769,1
"503",108016,1
"504",156239,4
"505",401474,2
"506",110102,1
"507",198780,1
"508",123090,11
"509",258836,7
"510",408518,1
"511",287624,2
"512",318199,2
"513",118606,1
"514",236224,3
"515",19166,18
"516",157734,2
"517",109148,1
"518",316963,1
"519",359464,1
"520",154678,1
"521",227445,1
"522",198374,1
"523",43143,3
"524",297130,5
"525",349236,1
"526",250770,3
"527",373190,1
"528",166821,28
"529",294296,1
"530",287658,2
"531",154756,464
"532",219392,1
"533",349322,1
"534",113718,2
"535",159139,1
"536",142520,7
"537",402435,1
"538",344128,2
"539",125661,15
"540",168043,1
"541",247409,1
"542",277002,1
"543",417198,4
"544",289388,1
"545",157954,3
"546",162851,5
"547",137480,7
"548",23433,1
"549",327181,2
"550",379321,1
"551",383470,2
"552",218800,12
"553",100285,13
"554",185863,2
"555",123183,4
"556",27305,1
"557",206513,17
"558",173766,1
"559",89797,802
"560",130393,17
"561",32639,3
"562",185658,5
"563",71774,1
"564",315547,1
"565",266236,109
"566",166822,1
"567",242942,1
"568",139981,1
"569",300845,1
"570",190936,9
"571",312996,2
"572",44559,90
"573",275961,11
"574",41815,1
"575",315442,25
"576",303854,1
"577",133294,2
"578",78911,50
"579",95007,8
"580",271601,2
"581",5798,5
"582",301106,1
"583",38206,1
"584",273633,10
"585",226699,13
"586",306488,2
"587",393637,3
"588",391199,14
"589",98827,1
"590",288856,12
"591",319152,1
"592",151246,1
"593",342567,2
"594",172927,4
"595",229906,2
"596",82054,2
"597",291734,99
"598",139256,1
"599",315426,3
"600",250000,1
"601",155987,1
"602",29060,11
"603",171195,2
"604",40647,1
"605",391741,2
"606",339720,2
"607",377900,1
"608",317620,2
"609",396865,1
"610",56734,1
"611",209118,1
"612",350734,2
"613",262986,1
"614",227263,2
"615",10551,1
"616",416125,1
"617",283258,6
"618",418159,3
"619",222468,5
"620",198590,1
"621",15639,1
"622",88149,1
"623",253804,1
"624",343201,8
"625",63301,3
"626",415038,14
"627",224011,1
"628",27733,1
"629",347527,20
"630",181530,1
"631",239686,2
"632",377073,1
"633",347985,6
"634",228627,12
"635",42589,2
"636",224509,1
"637",28881,1
"638",361658,1
"639",353016,4
"640",342790,2
"641",243651,4
"642",109135,1
"643",251179,1
"644",221250,11
"645",271593,1
"646",357829,1
"647",53703,11
"648",148077,3
"649",332874,2
"650",400533,3
"651",128978,2
"652",83865,1
"653",416104,1
"654",353937,1
"655",144633,3
"656",235851,2
"657",55971,2
"658",240033,1
"659",326495,1
"660",271796,1
"661",259597,1
"662",266159,5
"663",367603,4
"664",32163,2
"665",416580,2
"666",151885,8
"667",152031,11
"668",148682,7
"669",146410,1
"670",92968,9
"671",356658,13
"672",53888,1
"673",162061,12
"674",13710,1
"675",198978,3
"676",259318,11
"677",213333,11
"678",77548,34
"679",176550,7
"680",94354,1
"681",2797,6
"682",389613,1
"683",281001,53
"684",160662,2
"685",315993,3
"686",234138,2
"687",101922,5
"688",31358,10
"689",127880,4
"690",380938,8
"691",230273,1
"692",299189,3
"693",320835,1
"694",132041,2
"695",308456,3
"696",153917,751
"697",163405,1
"698",13492,1
"699",231212,3
"700",201495,55
"701",123099,4
"702",295477,1
"703",298966,7
"704",158151,2
"705",30058,24
"706",9778,697
"707",228771,2
"708",196745,2
"709",220457,5
"710",347342,1
"711",320923,1
"712",222004,10
"713",233271,1
"714",242134,2
"715",322359,1
"716",202226,3
"717",147521,1
"718",380190,7
"719",143494,1
"720",73287,30
"721",276786,1
"722",329971,1
"723",113524,5
"724",342687,8
"725",184729,1
"726",31997,2
"727",241288,1
"728",22830,3
"729",324187,3
"730",432,1
"731",143066,3
"732",194789,2
"733",339287,2
"734",94010,12
"735",65584,1
"736",10385,1
"737",111484,10
"738",60210,2
"739",391084,1
"740",130930,1
"741",118790,3
"742",373631,6
"743",415257,2
"744",57121,484
"745",146687,2
"746",214747,2
"747",311962,20
"748",44954,1
"749",395896,1
"750",263178,176
"751",347392,5
"752",297914,1
"753",126468,1
"754",83786,2
"755",175261,2
"756",55566,1
"757",339017,103
"758",373711,1
"759",152675,1
"760",70016,1
