"","country_code","month","active_editors","active_editors_ns0"
"214","CD","2020-09","1 - 10","1 - 10"
"215","CD","2020-10","1 - 10","1 - 10"
"216","CD","2020-11","1 - 10","1 - 10"
"217","CD","2021-01","1 - 10","1 - 10"
"218","CD","2021-02","1 - 10","1 - 10"
"219","CD","2021-03","1 - 10","1 - 10"
"220","CD","2021-04","1 - 10","1 - 10"
"221","CD","2021-05","1 - 10","1 - 10"
"222","CD","2021-06","1 - 10","1 - 10"
"223","CD","2021-07","1 - 10","1 - 10"
"224","CD","2021-08","1 - 10","1 - 10"
"225","CG","2020-10","1 - 10","1 - 10"
"226","CG","2020-11","1 - 10","1 - 10"
"227","CG","2020-12","1 - 10","1 - 10"
"228","CG","2021-01","1 - 10","1 - 10"
"229","CG","2021-02","1 - 10","1 - 10"
"230","CG","2021-05","1 - 10","1 - 10"
"231","CG","2021-06","1 - 10","1 - 10"
"232","CG","2021-07","1 - 10","1 - 10"
"233","CG","2021-08","1 - 10","1 - 10"
"234","CH","2020-09","> 100","> 100"
"235","CH","2020-10","> 100","> 100"
"236","CH","2020-11","> 100","> 100"
"237","CH","2020-12","> 100","> 100"
"238","CH","2021-01","> 100","> 100"
"239","CH","2021-02","> 100","> 100"
"240","CH","2021-03","> 100","> 100"
"241","CH","2021-04","> 100","> 100"
"242","CH","2021-05","> 100","> 100"
"243","CH","2021-06","> 100","> 100"
"244","CH","2021-07","> 100","> 100"
"245","CH","2021-08","> 100","> 100"
"246","CI","2020-10","1 - 10","1 - 10"
"247","CI","2020-12","1 - 10","1 - 10"
"248","CI","2021-02","1 - 10","0"
"249","CI","2021-03","1 - 10","1 - 10"
"250","CI","2021-05","1 - 10","1 - 10"
"251","CI","2021-06","1 - 10","1 - 10"
"252","CI","2021-07","1 - 10","1 - 10"
"253","CI","2021-08","1 - 10","1 - 10"
"254","CL","2020-09","> 100","> 100"
"255","CL","2020-10","81 - 90","81 - 90"
"256","CL","2020-11","91 - 100","91 - 100"
"257","CL","2020-12","81 - 90","81 - 90"
"258","CL","2021-01","81 - 90","81 - 90"
"259","CL","2021-02","61 - 70","61 - 70"
"260","CL","2021-03","91 - 100","91 - 100"
"261","CL","2021-04","91 - 100","91 - 100"
"262","CL","2021-05","> 100","> 100"
"263","CL","2021-06","91 - 100","91 - 100"
"264","CL","2021-07","81 - 90","81 - 90"
"265","CL","2021-08","81 - 90","81 - 90"
"266","CM","2020-09","1 - 10","1 - 10"
"267","CM","2020-11","1 - 10","1 - 10"
"268","CM","2020-12","1 - 10","1 - 10"
"269","CM","2021-01","1 - 10","1 - 10"
"270","CM","2021-02","1 - 10","1 - 10"
"271","CM","2021-04","1 - 10","1 - 10"
"272","CM","2021-05","1 - 10","1 - 10"
"273","CM","2021-06","1 - 10","1 - 10"
"274","CM","2021-07","11 - 20","11 - 20"
"275","CM","2021-08","1 - 10","1 - 10"
"276","CO","2020-09","> 100","> 100"
"277","CO","2020-10","81 - 90","81 - 90"
"278","CO","2020-11","81 - 90","81 - 90"
"279","CO","2020-12","61 - 70","61 - 70"
"280","CO","2021-01","81 - 90","81 - 90"
"281","CO","2021-02","61 - 70","61 - 70"
"282","CO","2021-03","91 - 100","91 - 100"
"283","CO","2021-04","81 - 90","81 - 90"
"284","CO","2021-05","81 - 90","81 - 90"
"285","CO","2021-06","81 - 90","81 - 90"
"286","CO","2021-07","71 - 80","71 - 80"
"287","CO","2021-08","71 - 80","71 - 80"
"288","CR","2020-09","11 - 20","11 - 20"
"289","CR","2020-10","11 - 20","11 - 20"
"290","CR","2020-11","21 - 30","21 - 30"
"291","CR","2020-12","11 - 20","11 - 20"
"292","CR","2021-01","11 - 20","11 - 20"
"293","CR","2021-02","11 - 20","11 - 20"
"294","CR","2021-03","1 - 10","1 - 10"
"295","CR","2021-04","11 - 20","11 - 20"
"296","CR","2021-05","11 - 20","11 - 20"
"297","CR","2021-06","11 - 20","11 - 20"
"298","CR","2021-07","11 - 20","11 - 20"
"299","CR","2021-08","21 - 30","21 - 30"
"300","CW","2020-09","1 - 10","1 - 10"
"301","CW","2021-02","1 - 10","1 - 10"
"302","CW","2021-04","1 - 10","1 - 10"
"303","CW","2021-05","1 - 10","1 - 10"
"304","CW","2021-08","1 - 10","1 - 10"
"305","CY","2020-09","1 - 10","1 - 10"
"306","CY","2020-10","1 - 10","1 - 10"
"307","CY","2020-11","1 - 10","1 - 10"
"308","CY","2020-12","1 - 10","1 - 10"
"309","CY","2021-01","1 - 10","1 - 10"
"310","CY","2021-02","1 - 10","1 - 10"
"311","CY","2021-03","1 - 10","1 - 10"
"312","CY","2021-04","1 - 10","1 - 10"
"313","CY","2021-05","1 - 10","1 - 10"
"314","CY","2021-06","1 - 10","1 - 10"
