"","country_code","month","active_editors","active_editors_ns0"
"599","HU","2020-10","> 100","> 100"
"600","HU","2020-11","> 100","> 100"
"601","HU","2020-12","> 100","> 100"
"602","HU","2021-01","> 100","> 100"
"603","HU","2021-02","> 100","> 100"
"604","HU","2021-03","> 100","> 100"
"605","HU","2021-04","> 100","> 100"
"606","HU","2021-05","> 100","> 100"
"607","HU","2021-06","> 100","> 100"
"608","HU","2021-07","> 100","> 100"
"609","HU","2021-08","> 100","> 100"
"610","ID","2020-09","> 100","> 100"
"611","ID","2020-10","> 100","> 100"
"612","ID","2020-11","> 100","> 100"
"613","ID","2020-12","> 100","> 100"
"614","ID","2021-01","> 100","> 100"
"615","ID","2021-02","> 100","> 100"
"616","ID","2021-03","> 100","> 100"
"617","ID","2021-04","> 100","> 100"
"618","ID","2021-05","> 100","> 100"
"619","ID","2021-06","> 100","> 100"
"620","ID","2021-07","> 100","> 100"
"621","ID","2021-08","> 100","> 100"
"622","IE","2020-09","51 - 60","51 - 60"
"623","IE","2020-10","61 - 70","61 - 70"
"624","IE","2020-11","51 - 60","51 - 60"
"625","IE","2020-12","51 - 60","51 - 60"
"626","IE","2021-01","51 - 60","51 - 60"
"627","IE","2021-02","61 - 70","61 - 70"
"628","IE","2021-03","61 - 70","61 - 70"
"629","IE","2021-04","51 - 60","51 - 60"
"630","IE","2021-05","41 - 50","41 - 50"
"631","IE","2021-06","51 - 60","51 - 60"
"632","IE","2021-07","51 - 60","51 - 60"
"633","IE","2021-08","41 - 50","41 - 50"
"634","IL","2020-09","> 100","> 100"
"635","IL","2020-10","> 100","> 100"
"636","IL","2020-11","> 100","> 100"
"637","IL","2020-12","> 100","> 100"
"638","IL","2021-01","> 100","> 100"
"639","IL","2021-02","> 100","> 100"
"640","IL","2021-03","> 100","> 100"
"641","IL","2021-04","> 100","> 100"
"642","IL","2021-05","> 100","> 100"
"643","IL","2021-06","> 100","> 100"
"644","IL","2021-07","> 100","> 100"
"645","IL","2021-08","> 100","> 100"
"646","IM","2021-03","1 - 10","1 - 10"
"647","IM","2021-04","1 - 10","1 - 10"
"648","IM","2021-05","1 - 10","1 - 10"
"649","IN","2020-09","> 100","> 100"
"650","IN","2020-10","> 100","> 100"
"651","IN","2020-11","> 100","> 100"
"652","IN","2020-12","> 100","> 100"
"653","IN","2021-01","> 100","> 100"
"654","IN","2021-02","> 100","> 100"
"655","IN","2021-03","> 100","> 100"
"656","IN","2021-04","> 100","> 100"
"657","IN","2021-05","> 100","> 100"
"658","IN","2021-06","> 100","> 100"
"659","IN","2021-07","> 100","> 100"
"660","IN","2021-08","> 100","> 100"
"661","IS","2020-09","1 - 10","1 - 10"
"662","IS","2020-10","11 - 20","11 - 20"
"663","IS","2020-11","1 - 10","1 - 10"
"664","IS","2020-12","11 - 20","11 - 20"
"665","IS","2021-01","11 - 20","11 - 20"
"666","IS","2021-02","11 - 20","11 - 20"
"667","IS","2021-03","11 - 20","11 - 20"
"668","IS","2021-04","11 - 20","11 - 20"
"669","IS","2021-05","1 - 10","1 - 10"
"670","IS","2021-06","1 - 10","1 - 10"
"671","IS","2021-07","1 - 10","1 - 10"
"672","IS","2021-08","1 - 10","1 - 10"
"673","IT","2020-09","> 100","> 100"
"674","IT","2020-10","> 100","> 100"
"675","IT","2020-11","> 100","> 100"
"676","IT","2020-12","> 100","> 100"
"677","IT","2021-01","> 100","> 100"
"678","IT","2021-02","> 100","> 100"
"679","IT","2021-03","> 100","> 100"
"680","IT","2021-04","> 100","> 100"
"681","IT","2021-05","> 100","> 100"
"682","IT","2021-06","> 100","> 100"
"683","IT","2021-07","> 100","> 100"
"684","IT","2021-08","> 100","> 100"
"685","JE","2020-09","1 - 10","1 - 10"
"686","JE","2020-10","1 - 10","1 - 10"
"687","JE","2020-11","1 - 10","1 - 10"
"688","JE","2020-12","1 - 10","1 - 10"
"689","JE","2021-01","1 - 10","1 - 10"
"690","JE","2021-02","1 - 10","1 - 10"
"691","JE","2021-03","1 - 10","1 - 10"
"692","JE","2021-04","1 - 10","1 - 10"
"693","JE","2021-05","1 - 10","1 - 10"
"694","JE","2021-06","1 - 10","1 - 10"
"695","JE","2021-07","1 - 10","1 - 10"
"696","JE","2021-08","1 - 10","1 - 10"
"697","JM","2020-09","1 - 10","1 - 10"
"698","JM","2021-07","1 - 10","1 - 10"
"699","JM","2021-08","1 - 10","1 - 10"
"700","JO","2020-09","21 - 30","21 - 30"
